setting,dataset,model,condition,method,N,before_acc,after_acc,delta,recovered,recovery_den,recovery_rate,recovery_ci_exact,regressed,regression_den,regression_rate,regression_ci_exact,stayed_correct,stayed_wrong,structural_clearance,joint_full_repair,new_failure_rate,em_before,em_after,f1_before,f1_after,latency_mean_ms,latency_median_ms,tokens_mean
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D,b3,106,0.42452830188679247,0.44339622641509435,0.018867924528301886,11,61,0.18032786885245902,"[0.09360976979434991, 0.299786377267992]",9,45,0.2,"[0.09575726969114265, 0.3459582977949477]",36,50,0.0,0.0,0.0,0.2641509433962264,0.27358490566037735,0.38063042827193766,0.38228511530398324,2664.0849056603774,2497.0,1527.688679245283
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D,b0,108,0.4166666666666667,0.4166666666666667,0.0,0,63,0.0,,0,45,0.0,,,,0.0,0.0,0.0,,,,,,,
Hotpot-Llama,hotpotqa,llama3.1:8b,M_L,fixed,101,0.48514851485148514,0.8811881188118812,0.39603960396039606,43,52,0.8269230769230769,"[0.696719893896867, 0.9176743145579072]",3,49,0.061224489795918366,"[0.012808421318278853, 0.16865890070230113]",46,9,0.6336633663366337,0.5742574257425742,0.0,0.38613861386138615,0.7029702970297029,0.48234537739488237,0.811032531824611,650.8019801980198,647.0,1889.9108910891089
Hotpot-Llama,hotpotqa,llama3.1:8b,M_L,reverse,100,0.48,0.89,0.41,43,52,0.8269230769230769,"[0.696719893896867, 0.9176743145579072]",2,48,0.041666666666666664,"[0.005086467930032977, 0.1425409732013774]",46,9,0.65,0.6,0.0,0.38,0.73,0.4771688311688312,0.8391428571428571,636.92,631.0,1853.81
Hotpot-Llama,hotpotqa,llama3.1:8b,M_L,b2,107,0.5046728971962616,0.37383177570093457,-0.1308411214953271,8,53,0.1509433962264151,"[0.06749253811596383, 0.2759211788547169]",22,54,0.4074074074074074,"[0.27567993703775584, 0.5496558756410246]",32,45,0.0,0.0,0.0,0.411214953271028,0.29906542056074764,0.5020269450175993,0.3616748256935173,566.8130841121496,556.0,1651.0934579439252
Hotpot-Llama,hotpotqa,llama3.1:8b,M_L,b3,107,0.5046728971962616,0.5514018691588785,0.04672897196261682,8,53,0.1509433962264151,"[0.06749253811596383, 0.2759211788547169]",3,54,0.05555555555555555,"[0.01160677437994132, 0.1538850337916334]",51,45,0.0,0.0,0.0,0.411214953271028,0.42990654205607476,0.5020269450175993,0.520501409286456,2699.5607476635514,2554.0,1620.981308411215
Hotpot-Llama,hotpotqa,llama3.1:8b,M_L,b0,107,0.5046728971962616,0.5046728971962616,0.0,0,53,0.0,,0,54,0.0,,,,0.0,0.0,0.0,,,,,,,
Hotpot-Llama,hotpotqa,llama3.1:8b,D_L,fixed,101,0.46534653465346537,0.8217821782178217,0.3564356435643564,37,54,0.6851851851851852,"[0.5444760051271571, 0.8047605889968085]",1,47,0.02127659574468085,"[0.0005385317053423145, 0.11293771714640011]",46,17,0.5742574257425742,0.5742574257425742,0.0,0.32673267326732675,0.6138613861386139,0.44856985698569857,0.7313609932421813,612.1386138613861,652.0,1718.0891089108911
Hotpot-Llama,hotpotqa,llama3.1:8b,D_L,reverse,105,0.4666666666666667,0.7904761904761904,0.3238095238095238,35,56,0.625,"[0.4854783065629366, 0.7508159323622695]",1,49,0.02040816326530612,"[0.0005165564975932862, 0.10854176396840694]",48,21,0.4666666666666667,0.4666666666666667,0.0,0.3142857142857143,0.5619047619047619,0.44227513227513227,0.7135525321239606,619.4190476190477,632.0,1798.8666666666666
Hotpot-Llama,hotpotqa,llama3.1:8b,D_L,b2,108,0.46296296296296297,0.4166666666666667,-0.046296296296296294,28,58,0.4827586206896552,"[0.3495112034108459, 0.6178262808235317]",33,50,0.66,"[0.5123475122784118, 0.7879452865646183]",17,30,0.0,0.0,0.0,0.3148148148148148,0.2777777777777778,0.43924897119341566,0.40803291358846916,582.6296296296297,575.5,1609.898148148148
Hotpot-Llama,hotpotqa,llama3.1:8b,D_L,b3,108,0.46296296296296297,0.7314814814814815,0.26851851851851855,29,58,0.5,"[0.36576915772593044, 0.6342308422740695]",0,50,0.0,"[0.0, 0.07112173646419764]",50,29,0.046296296296296294,0.046296296296296294,0.09259259259259259,0.3148148148148148,0.5185185185185185,0.43924897119341566,0.6361037624926514,2772.3703703703704,2500.5,1666.101851851852
Hotpot-Llama,hotpotqa,llama3.1:8b,D_L,b0,108,0.46296296296296297,0.46296296296296297,0.0,0,58,0.0,,0,50,0.0,,,,0.0,0.0,0.0,,,,,,,
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D_L,fixed,104,0.33653846153846156,0.7692307692307693,0.4326923076923077,46,69,0.6666666666666666,"[0.5428816155019619, 0.7756324845125234]",1,35,0.02857142857142857,"[0.0007231043763380947, 0.14917207965643164]",34,23,0.38461538461538464,0.34615384615384615,0.0,0.2403846153846154,0.5576923076923077,0.36173687423687423,0.6853556166056166,635.625,638.0,1802.2211538461538
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D_L,reverse,103,0.3592233009708738,0.7669902912621359,0.4077669902912621,45,66,0.6818181818181818,"[0.5556078292305275, 0.7911016327585585]",3,37,0.08108108108108109,"[0.0170435306958188, 0.21909620623800014]",34,21,0.4368932038834951,0.4077669902912621,0.0,0.24271844660194175,0.5436893203883495,0.36816150408383425,0.6939278511460867,625.3300970873786,623.0,1802.5242718446602
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D_L,b2,108,0.35185185185185186,0.3425925925925926,-0.009259259259259259,19,70,0.2714285714285714,"[0.17199116379968168, 0.39097978770581243]",20,38,0.5263157894736842,"[0.35818343626050364, 0.6901926983917913]",18,51,0.0,0.0,0.0,0.24074074074074073,0.21296296296296297,0.3650058788947678,0.33423053284164395,563.5462962962963,560.0,1506.0277777777778
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D_L,b3,108,0.35185185185185186,0.48148148148148145,0.12962962962962962,19,70,0.2714285714285714,"[0.17199116379968168, 0.39097978770581243]",5,38,0.13157894736842105,"[0.04413744005791443, 0.2808638458837533]",33,51,0.0,0.0,0.0,0.24074074074074073,0.3425925925925926,0.3650058788947678,0.4641413438197064,2590.240740740741,2473.0,1560.7407407407406
Hotpot-Llama,hotpotqa,llama3.1:8b,M_D_L,b0,108,0.35185185185185186,0.35185185185185186,0.0,0,70,0.0,,0,38,0.0,,,,0.0,0.0,0.0,,,,,,,
Hotpot-Qwen,hotpotqa,qwen3.5:9b,M_D,fixed,108,0.25,0.8981481481481481,0.6481481481481481,70,81,0.8641975308641975,"[0.7699903684379342, 0.9302113140128173]",0,27,0.0,"[0.0, 0.12770286761543234]",27,11,0.9444444444444444,0.8888888888888888,0.0,0.17592592592592593,0.6851851851851852,0.2843928705039816,0.8277182965908456,839.6851851851852,833.0,1927.0740740740741
Hotpot-Qwen,hotpotqa,qwen3.5:9b,M_D,reverse,108,0.25,0.7129629629629629,0.46296296296296297,50,81,0.6172839506172839,"[0.5025749601550842, 0.7231489108748745]",0,27,0.0,"[0.0, 0.12770286761543234]",27,31,0.6481481481481481,0.6018518518518519,0.0,0.17592592592592593,0.5092592592592593,0.2843928705039816,0.6777649819316486,833.8703703703703,835.0,1885.787037037037
Hotpot-Qwen,hotpotqa,qwen3.5:9b,M_D,b2,108,0.25,0.3888888888888889,0.1388888888888889,23,81,0.2839506172839506,"[0.18926196857762104, 0.3950133847424343]",8,27,0.2962962962962963,"[0.13752655394057922, 0.5018136663700014]",19,58,0.0,0.0,0.0,0.17592592592592593,0.24074074074074073,0.2843928705039816,0.38332454204131094,1185.851851851852,750.5,1621.0092592592594
Hotpot-Qwen,hotpotqa,qwen3.5:9b,M_D,b3,108,0.25,0.28703703703703703,0.037037037037037035,6,81,0.07407407407407407,"[0.027668360524403943, 0.1542861687152946]",2,27,0.07407407407407407,"[0.009100072942306284, 0.24289834684562717]",25,75,0.0,0.0,0.0,0.17592592592592593,0.19444444444444445,0.2843928705039816,0.3152570680348458,4682.935185185185,2719.5,397.0925925925926
